link,date,REGION
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-flavio-de-oliveira-2-quartos-belo-horizonte-1222373248,2023-08-15 13:55:18.525145,barreiro
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-cobertura-milionarios-belo-horizonte-1222369856,2023-08-15 13:55:18.525145,barreiro
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-olaria-2-quartos-49-m2-1222359028,2023-08-15 13:55:18.525145,barreiro
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/venda-area-privativa-milionarios-belo-horizonte-1222357157,2023-08-15 13:55:18.527705,barreiro
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-a-venda-3-quartos-1-suite-2-vagas-miramar-belo-horizonte-mg-1222357044,2023-08-15 13:55:18.527705,barreiro
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-3-quartos-1-suite-2-vagas-miramar-belo-horizonte-mg-1222356551,2023-08-15 13:55:18.527705,barreiro
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-area-privativa-a-venda-2-quartos-1-vaga-santa-monica-belo-horizonte-m-1222457993,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-lazer-completo-de-3-quartos-com-suite-para-venda-bairro-castelo-belo-hor-1222456535,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-3-quartos-a-venda-80-m-por-r-389-000-santa-branca-belo-horizonte-mg-1222455224,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-castelo-2-quartos-85-m2-1222369855,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-bandeirantes-2-quartos-62-m2-1222369405,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-manacas-2-quartos-122-m2-1222367688,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-itapoa-2-quartos-80-m2-1222365255,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-a-venda-castelo-3-quartos-61-m2-1222363983,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-garden-com-3-dormitorios-a-venda-75-m-por-r-699-000-00-itapoa-belo-hori-1222361830,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-2-dormitorios-a-venda-104-m-por-r-499-000-00-santa-monica-belo-horizo-1222359007,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-03-quartos-01-suite-a-venda-santa-branca-belo-horizonte-mg-1222357820,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-por-r-240-000-00-santa-branca-belo-horizonte-mg-1222356283,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/excelente-apartamento-com-3-quartos-1-suite-elevador-e-2-vagas-no-bairro-santa-amelia-1222356198,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-55-m-por-r-370-000-00-castelo-belo-horizonte-1222354992,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-a-venda-3-quartos-1-suite-1-vaga-ouro-preto-belo-horizonte-mg-1222354344,2023-08-15 13:56:26.896108,pampulha
https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-a-venda-3-quartos-1-suite-2-vagas-paqueta-belo-horizonte-mg-1222352082,2023-08-15 13:56:26.896108,pampulha
