TITLE,LINK,DATE_SCRAPE,CITY,CEP,NEIGHBORHOOD,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,APARTMENT_DETAILS,PRICE,REGION
Cobertura com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-3-dormitorios-a-venda-em-belo-horizonte-1179511366,2023-08-06,Belo Horizonte,31920070,Dom Joaquim,R$ 120,R$ 95,220m²,3,2,2,Churrasqueira,790000,zona_nordeste
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179511372,2023-08-06,Belo Horizonte,31910442,Fernão Dias,R$ 420,R$ 164,90m²,3,2,1,Armários na cozinha,470000,zona_nordeste
Área Privativa / Garden com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-garden-com-3-dormitorios-a-venda-em-belo-horizonte-1179511283,2023-08-06,Belo Horizonte,31170590,União,R$ 1,R$ 1,162m²,3,2,2,Área de serviço,680000,zona_nordeste
Apartamento com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-em-belo-horizonte-1179511271,2023-08-06,Belo Horizonte,31980065,São Gabriel,R$ 336,R$ 38,43m²,2,1,1,N/A,225000,zona_nordeste
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179511239,2023-08-06,Belo Horizonte,31160282,União,R$ 550,R$ 5.066,150m²,3,2,3,N/A,1280000,zona_nordeste
Cobertura com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-3-dormitorios-a-venda-em-belo-horizonte-1179511216,2023-08-06,Belo Horizonte,31170710,União,R$ 750,R$ 100,168m²,3,3,3,"Área de serviço, Armários na cozinha, Churrasqueira",1240000,zona_nordeste
Área Privativa / Garden com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/area-privativa-garden-com-3-dormitorios-a-venda-em-belo-horizonte-1179511098,2023-08-06,Belo Horizonte,31170180,Cidade Nova,R$ 350,R$ 270,160m²,3,2,3,"Academia, Varanda",1169000,zona_nordeste
Cobertura com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/cobertura-com-2-dormitorios-a-venda-em-belo-horizonte-1179511101,2023-08-06,Belo Horizonte,31910380,Fernão Dias,R$ 200,R$ 165,120m²,2,3,2,"Armários na cozinha, Churrasqueira",520000,zona_nordeste
Apartamento com 2 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-em-belo-horizonte-1179511063,2023-08-06,Belo Horizonte,31155680,Maria Virgínia,R$ 38.000,R$ 0,75m²,2,2,2,N/A,320000,zona_nordeste
Apartamento com 3 dormitórios à venda em Belo Horizonte,https://mg.olx.com.br/belo-horizonte-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-em-belo-horizonte-1179511041,2023-08-06,Belo Horizonte,31170230,Cidade Nova,R$ 1,R$ 1,75m²,3,2,1,"Área de serviço, Armários na cozinha",398000,zona_nordeste
