,CONDO,TAX,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Quarto de serviço,DETAIL_Varanda,DETAIL_Área de serviço,PRICE,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste
103,153,0,45,2,1,1,0,0,0,0,0,0,0,0,0,0,145000.0,False,False,False,False,False,False,False,False
104,0,248,130,3,1,2,0,0,0,0,0,0,0,0,1,0,600000.0,False,False,False,False,False,False,False,False
105,250,0,86,3,2,2,0,0,0,0,0,0,0,0,0,0,453000.0,False,False,False,False,False,False,False,False
106,249,0,45,2,1,1,0,0,0,0,0,0,0,0,0,0,130000.0,False,False,False,False,False,False,False,False
107,320,0,57,2,1,1,0,0,0,0,1,0,0,0,1,1,269000.0,False,False,False,False,False,False,False,False
108,100,0,47,2,1,1,0,0,0,0,0,0,0,0,0,0,170000.0,False,False,False,False,False,False,False,False
109,150,33,51,2,1,1,0,0,0,0,0,0,0,0,0,0,170000.0,False,False,False,False,False,False,False,False
110,150,188,170,3,2,0,0,0,0,0,0,0,0,0,0,1,799000.0,False,False,False,False,False,False,False,False
111,265,1,43,2,1,1,0,0,0,0,0,1,0,0,0,1,169900.0,False,False,False,False,False,False,False,False
112,265,30,47,2,1,1,0,0,0,0,0,0,0,0,0,0,185000.0,False,False,False,False,False,False,False,False
113,350,0,93,3,1,2,0,0,0,0,0,0,0,0,1,1,650000.0,False,False,False,False,False,False,False,False
114,680,2,115,2,2,2,0,0,0,0,1,0,0,0,0,1,510000.0,False,False,False,False,False,False,False,False
115,1,1,72,3,1,2,0,0,0,0,0,0,0,0,0,0,455000.0,False,False,False,False,False,False,False,False
116,1,1,72,3,1,1,0,0,0,0,0,0,0,0,0,0,445000.0,False,False,False,False,False,False,False,False
117,1,1,72,3,1,1,0,0,0,0,0,0,0,0,0,0,435000.0,False,False,False,False,False,False,False,False
118,1,1,72,3,1,2,0,0,0,0,0,0,0,0,0,0,550000.0,False,False,False,False,False,False,False,False
119,482,110,75,3,2,2,0,0,0,0,0,0,1,0,1,0,430000.0,False,False,False,False,False,False,False,False
