,AREA,ROOMS_NO,BATH_NO,PARKING_SPOTS,DETAIL_Academia,DETAIL_Ar condicionado,DETAIL_Armários na cozinha,DETAIL_Armários no quarto,DETAIL_Churrasqueira,DETAIL_Mobiliado,DETAIL_Piscina,DETAIL_Varanda,DETAIL_Área de serviço,REGION_pampulha,REGION_venda_nova,REGION_zona_centro_sul,REGION_zona_leste,REGION_zona_nordeste,REGION_zona_noroeste,REGION_zona_norte,REGION_zona_oeste,UTILS,PRICE
103,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,145000.0
104,130,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,248,600000.0
105,86,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,453000.0
106,45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,130000.0
107,57,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,320,269000.0
108,47,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,170000.0
109,51,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,170000.0
110,170,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,338,799000.0
111,43,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,266,169900.0
112,47,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,185000.0
113,93,3,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,350,650000.0
114,115,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,682,510000.0
115,72,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,455000.0
116,72,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,445000.0
117,72,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,435000.0
118,72,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,550000.0
